Line: R29, Position: 79, Quotient: 0, Password: 0
Line: R28, Position: 28, Quotient: 0, Password: 36
Line: L93, Position: 35, Quotient: -1, Password: 37
Line: R83, Position: 18, Quotient: 1, Password: 38
Line: L18, Position: 0, Quotient: 0, Password: 39
Line: L652, Position: 48, Quotient: -1, Password: 45
Line: R7, Position: 55, Quotient: 0, Password: 45
Line: L888, Position: 67, Quotient: -1, Password: 54
Line: L763, Position: 4, Quotient: 0, Password: 61
Line: L24, Position: 80, Quotient: -1, Password: 62
Line: L89, Position: 91, Quotient: -1, Password: 63
Line: R443, Position: 34, Quotient: 1, Password: 68
Line: L34, Position: 0, Quotient: 0, Password: 69
Line: R16, Position: 16, Quotient: 0, Password: 69
Line: R11, Position: 27, Quotient: 0, Password: 69
Line: R68, Position: 95, Quotient: 0, Password: 69
Line: L95, Position: 0, Quotient: 0, Password: 70
Line: L80, Position: 20, Quotient: -1, Password: 70
Line: R80, Position: 0, Quotient: 1, Password: 71
Line: R74, Position: 74, Quotient: 0, Password: 71
Line: R26, Position: 0, Quotient: 1, Password: 72
Line: R72, Position: 72, Quotient: 0, Password: 72
Line: R61, Position: 33, Quotient: 1, Password: 73
Line: R106, Position: 39, Quotient: 0, Password: 74
Line: R19, Position: 58, Quotient: 0, Password: 74
Line: L58, Position: 0, Quotient: 0, Password: 75
Line: R74, Position: 74, Quotient: 0, Password: 75
Line: R63, Position: 37, Quotient: 1, Password: 76
Line: R759, Position: 96, Quotient: 0, Password: 83
Line: R304, Position: 0, Quotient: 1, Password: 87
Line: L62, Position: 38, Quotient: -1, Password: 87
Line: L438, Position: 0, Quotient: 0, Password: 92
Line: R8, Position: 8, Quotient: 0, Password: 92
Line: R91, Position: 99, Quotient: 0, Password: 92
Line: R692, Position: 91, Quotient: 1, Password: 99
Line: L59, Position: 32, Quotient: 0, Password: 99
Line: L41, Position: 91, Quotient: -1, Password: 100
Line: L49, Position: 42, Quotient: 0, Password: 100
Line: R84, Position: 26, Quotient: 1, Password: 101
Line: R99, Position: 25, Quotient: 1, Password: 102
Line: L1, Position: 24, Quotient: 0, Password: 102
Line: L24, Position: 0, Quotient: 0, Password: 103
Line: R35, Position: 35, Quotient: 0, Password: 103
Line: R37, Position: 72, Quotient: 0, Password: 103
Line: R28, Position: 0, Quotient: 1, Password: 104
Line: L34, Position: 66, Quotient: -1, Password: 104
Line: R70, Position: 36, Quotient: 1, Password: 105
Line: R64, Position: 0, Quotient: 1, Password: 106
Line: R50, Position: 50, Quotient: 0, Password: 106
Line: R450, Position: 0, Quotient: 1, Password: 111
Line: R1, Position: 1, Quotient: 0, Password: 111
Line: R499, Position: 0, Quotient: 1, Password: 116
Line: R39, Position: 39, Quotient: 0, Password: 116
Line: R61, Position: 0, Quotient: 1, Password: 117
Line: L96, Position: 4, Quotient: -1, Password: 117
Line: R333, Position: 37, Quotient: 0, Password: 120
Line: L37, Position: 0, Quotient: 0, Password: 121
Line: R106, Position: 6, Quotient: 0, Password: 122
Line: L76, Position: 30, Quotient: -1, Password: 123
Line: R14, Position: 44, Quotient: 0, Password: 123
Line: R84, Position: 28, Quotient: 1, Password: 124
Line: L30, Position: 98, Quotient: -1, Password: 125
Line: L98, Position: 0, Quotient: 0, Password: 126
Line: R77, Position: 77, Quotient: 0, Password: 126
Line: R16, Position: 93, Quotient: 0, Password: 126
Line: L93, Position: 0, Quotient: 0, Password: 127
Line: L36, Position: 64, Quotient: -1, Password: 127
Line: R36, Position: 0, Quotient: 1, Password: 128
Line: L63, Position: 37, Quotient: -1, Password: 128
Line: L13, Position: 24, Quotient: 0, Password: 128
Line: L532, Position: 92, Quotient: -1, Password: 134
Line: L992, Position: 0, Quotient: 0, Password: 144
Line: R98, Position: 98, Quotient: 0, Password: 144
Line: L98, Position: 0, Quotient: 0, Password: 145
Line: R33, Position: 33, Quotient: 0, Password: 145
Line: L96, Position: 37, Quotient: -1, Password: 146
Line: L37, Position: 0, Quotient: 0, Password: 147
Line: L82, Position: 18, Quotient: -1, Password: 147
Line: R20, Position: 38, Quotient: 0, Password: 147
Line: L57, Position: 81, Quotient: -1, Password: 148
Line: R302, Position: 83, Quotient: 0, Password: 151
Line: L483, Position: 0, Quotient: 0, Password: 156
Line: R49, Position: 49, Quotient: 0, Password: 156
Line: L426, Position: 23, Quotient: 0, Password: 160
Line: L71, Position: 52, Quotient: -1, Password: 161
Line: L38, Position: 14, Quotient: 0, Password: 161
Line: R71, Position: 85, Quotient: 0, Password: 161
Line: L78, Position: 7, Quotient: 0, Password: 161
Line: R93, Position: 0, Quotient: 1, Password: 162
Line: R56, Position: 56, Quotient: 0, Password: 162
Line: R590, Position: 46, Quotient: 1, Password: 168
Line: L98, Position: 48, Quotient: -1, Password: 169
Line: R42, Position: 90, Quotient: 0, Password: 169
Line: L90, Position: 0, Quotient: 0, Password: 170
Line: R20, Position: 20, Quotient: 0, Password: 170
Line: L10, Position: 10, Quotient: 0, Password: 170
Line: R51, Position: 61, Quotient: 0, Password: 170
Line: R28, Position: 89, Quotient: 0, Password: 170
Line: L62, Position: 27, Quotient: 0, Password: 170
Line: L39, Position: 88, Quotient: -1, Password: 171
Line: L26, Position: 62, Quotient: 0, Password: 171
Line: L615, Position: 47, Quotient: 0, Password: 177
Line: L47, Position: 0, Quotient: 0, Password: 178
Line: R67, Position: 67, Quotient: 0, Password: 178
Line: R89, Position: 56, Quotient: 1, Password: 179
Line: L256, Position: 0, Quotient: 0, Password: 182
Line: L65, Position: 35, Quotient: -1, Password: 182
Line: L5, Position: 30, Quotient: 0, Password: 182
Line: L46, Position: 84, Quotient: -1, Password: 183
Line: R21, Position: 5, Quotient: 1, Password: 184
Line: L370, Position: 35, Quotient: -1, Password: 188
Line: L864, Position: 71, Quotient: -1, Password: 197
Line: R29, Position: 0, Quotient: 1, Password: 198
Line: R61, Position: 61, Quotient: 0, Password: 198
Line: R11, Position: 72, Quotient: 0, Password: 198
Line: L72, Position: 0, Quotient: 0, Password: 199
Line: R688, Position: 88, Quotient: 0, Password: 205
Line: L88, Position: 0, Quotient: 0, Password: 206
Line: R27, Position: 27, Quotient: 0, Password: 206
Line: R73, Position: 0, Quotient: 1, Password: 207
Line: L88, Position: 12, Quotient: -1, Password: 207
Line: L32, Position: 80, Quotient: -1, Password: 208
Line: R61, Position: 41, Quotient: 1, Password: 209
Line: L92, Position: 49, Quotient: -1, Password: 210
Line: L49, Position: 0, Quotient: 0, Password: 211
Line: L328, Position: 72, Quotient: -1, Password: 214
Line: L77, Position: 95, Quotient: -1, Password: 215
Line: L53, Position: 42, Quotient: 0, Password: 215
Line: R458, Position: 0, Quotient: 1, Password: 220
Line: R35, Position: 35, Quotient: 0, Password: 220
Line: L814, Position: 21, Quotient: 0, Password: 228
Line: L21, Position: 0, Quotient: 0, Password: 229
Line: R467, Position: 67, Quotient: 0, Password: 233
Line: R95, Position: 62, Quotient: 1, Password: 234
Line: R38, Position: 0, Quotient: 1, Password: 235
Line: R323, Position: 23, Quotient: 0, Password: 238
Line: L574, Position: 49, Quotient: -1, Password: 244
Line: R51, Position: 0, Quotient: 1, Password: 245
Line: R28, Position: 28, Quotient: 0, Password: 245
Line: L58, Position: 70, Quotient: -1, Password: 246
Line: L91, Position: 79, Quotient: -1, Password: 247
Line: R24, Position: 3, Quotient: 1, Password: 248
Line: L989, Position: 14, Quotient: -1, Password: 258
Line: R86, Position: 0, Quotient: 1, Password: 259
Line: L35, Position: 65, Quotient: -1, Password: 259
Line: L61, Position: 4, Quotient: 0, Password: 259
Line: R96, Position: 0, Quotient: 1, Password: 260
Line: L22, Position: 78, Quotient: -1, Password: 260
Line: R89, Position: 67, Quotient: 1, Password: 261
Line: R55, Position: 22, Quotient: 1, Password: 262
Line: L59, Position: 63, Quotient: -1, Password: 263
Line: L61, Position: 2, Quotient: 0, Password: 263
Line: L2, Position: 0, Quotient: 0, Password: 264
Line: R96, Position: 96, Quotient: 0, Password: 264
Line: R37, Position: 33, Quotient: 1, Password: 265
Line: R67, Position: 0, Quotient: 1, Password: 266
Line: R29, Position: 29, Quotient: 0, Password: 266
Line: L1, Position: 28, Quotient: 0, Password: 266
Line: L950, Position: 78, Quotient: -1, Password: 276
Line: L14, Position: 64, Quotient: 0, Password: 276
Line: L92, Position: 72, Quotient: -1, Password: 277
Line: L1, Position: 71, Quotient: 0, Password: 277
Line: L32, Position: 39, Quotient: 0, Password: 277
Line: L39, Position: 0, Quotient: 0, Password: 278
Line: R80, Position: 80, Quotient: 0, Password: 278
Line: R5, Position: 85, Quotient: 0, Password: 278
Line: L2, Position: 83, Quotient: 0, Password: 278
Line: L438, Position: 45, Quotient: 0, Password: 282
Line: R38, Position: 83, Quotient: 0, Password: 282
Line: L83, Position: 0, Quotient: 0, Password: 283
Line: L444, Position: 56, Quotient: -1, Password: 287
Line: R99, Position: 55, Quotient: 1, Password: 288
Line: L55, Position: 0, Quotient: 0, Password: 289
Line: R758, Position: 58, Quotient: 0, Password: 296
Line: R50, Position: 8, Quotient: 1, Password: 297
Line: R89, Position: 97, Quotient: 0, Password: 297
Line: L986, Position: 11, Quotient: 0, Password: 306
Line: R89, Position: 0, Quotient: 1, Password: 307
Line: L84, Position: 16, Quotient: -1, Password: 307
Line: R853, Position: 69, Quotient: 0, Password: 315
Line: R31, Position: 0, Quotient: 1, Password: 316
Line: L53, Position: 47, Quotient: -1, Password: 316
Line: L33, Position: 14, Quotient: 0, Password: 316
Line: L51, Position: 63, Quotient: -1, Password: 317
Line: L66, Position: 97, Quotient: -1, Password: 318
Line: L29, Position: 68, Quotient: 0, Password: 318
Line: L768, Position: 0, Quotient: 0, Password: 326
Line: L185, Position: 15, Quotient: -1, Password: 327
Line: L292, Position: 23, Quotient: -1, Password: 330
Line: R77, Position: 0, Quotient: 1, Password: 331
Line: L932, Position: 68, Quotient: -1, Password: 340
Line: L85, Position: 83, Quotient: -1, Password: 341
Line: L46, Position: 37, Quotient: 0, Password: 341
Line: R63, Position: 0, Quotient: 1, Password: 342
Line: L973, Position: 27, Quotient: -1, Password: 351
Line: R73, Position: 0, Quotient: 1, Password: 352
Line: L86, Position: 14, Quotient: -1, Password: 352
Line: R6, Position: 20, Quotient: 0, Password: 352
Line: R352, Position: 72, Quotient: 0, Password: 355
Line: R28, Position: 0, Quotient: 1, Password: 356
Line: L35, Position: 65, Quotient: -1, Password: 356
Line: L65, Position: 0, Quotient: 0, Password: 357
Line: R97, Position: 97, Quotient: 0, Password: 357
Line: L97, Position: 0, Quotient: 0, Password: 358
Line: R60, Position: 60, Quotient: 0, Password: 358
Line: R55, Position: 15, Quotient: 1, Password: 359
Line: R532, Position: 47, Quotient: 0, Password: 364
Line: R53, Position: 0, Quotient: 1, Password: 365
Line: R407, Position: 7, Quotient: 0, Password: 369
Line: L8, Position: 99, Quotient: -1, Password: 370
Line: L999, Position: 0, Quotient: 0, Password: 380
Line: L58, Position: 42, Quotient: -1, Password: 380
Line: L42, Position: 0, Quotient: 0, Password: 381
Line: R5, Position: 5, Quotient: 0, Password: 381
Line: R571, Position: 76, Quotient: 0, Password: 386
Line: R430, Position: 6, Quotient: 1, Password: 391
Line: R60, Position: 66, Quotient: 0, Password: 391
Line: L91, Position: 75, Quotient: -1, Password: 392
Line: R25, Position: 0, Quotient: 1, Password: 393
Line: L52, Position: 48, Quotient: -1, Password: 393
Line: R252, Position: 0, Quotient: 1, Password: 396
Line: R66, Position: 66, Quotient: 0, Password: 396
Line: R34, Position: 0, Quotient: 1, Password: 397
Line: R13, Position: 13, Quotient: 0, Password: 397
Line: R19, Position: 32, Quotient: 0, Password: 397
Line: L432, Position: 0, Quotient: 0, Password: 402
Line: L896, Position: 4, Quotient: -1, Password: 410
Line: L3, Position: 1, Quotient: 0, Password: 410
Line: R99, Position: 0, Quotient: 1, Password: 411
Line: R71, Position: 71, Quotient: 0, Password: 411
Line: R85, Position: 56, Quotient: 1, Password: 412
Line: L56, Position: 0, Quotient: 0, Password: 413
Line: L13, Position: 87, Quotient: -1, Password: 413
Line: R483, Position: 70, Quotient: 1, Password: 418
Line: L970, Position: 0, Quotient: 0, Password: 428
Line: L97, Position: 3, Quotient: -1, Password: 428
Line: R30, Position: 33, Quotient: 0, Password: 428
Line: R678, Position: 11, Quotient: 1, Password: 435
Line: R61, Position: 72, Quotient: 0, Password: 435
Line: L72, Position: 0, Quotient: 0, Password: 436
Line: L308, Position: 92, Quotient: -1, Password: 439
Line: R19, Position: 11, Quotient: 1, Password: 440
Line: R95, Position: 6, Quotient: 1, Password: 441
Line: R710, Position: 16, Quotient: 0, Password: 448
Line: L16, Position: 0, Quotient: 0, Password: 449
Line: L949, Position: 51, Quotient: -1, Password: 458
Line: L51, Position: 0, Quotient: 0, Password: 459
Line: L18, Position: 82, Quotient: -1, Password: 459
Line: L94, Position: 88, Quotient: -1, Password: 460
Line: R82, Position: 70, Quotient: 1, Password: 461
Line: R30, Position: 0, Quotient: 1, Password: 462
Line: R91, Position: 91, Quotient: 0, Password: 462
Line: L4, Position: 87, Quotient: 0, Password: 462
Line: R91, Position: 78, Quotient: 1, Password: 463
Line: R55, Position: 33, Quotient: 1, Password: 464
Line: R267, Position: 0, Quotient: 1, Password: 467
Line: R82, Position: 82, Quotient: 0, Password: 467
Line: R915, Position: 97, Quotient: 0, Password: 476
Line: L97, Position: 0, Quotient: 0, Password: 477
Line: R61, Position: 61, Quotient: 0, Password: 477
Line: L683, Position: 78, Quotient: -1, Password: 484
Line: L16, Position: 62, Quotient: 0, Password: 484
Line: L19, Position: 43, Quotient: 0, Password: 484
Line: R57, Position: 0, Quotient: 1, Password: 485
Line: R521, Position: 21, Quotient: 0, Password: 490
Line: R79, Position: 0, Quotient: 1, Password: 491
Line: R96, Position: 96, Quotient: 0, Password: 491
Line: R94, Position: 90, Quotient: 1, Password: 492
Line: R10, Position: 0, Quotient: 1, Password: 493
Line: L98, Position: 2, Quotient: -1, Password: 493
Line: L56, Position: 46, Quotient: -1, Password: 494
Line: L85, Position: 61, Quotient: -1, Password: 495
Line: L49, Position: 12, Quotient: 0, Password: 495
Line: L121, Position: 91, Quotient: -1, Password: 497
Line: R9, Position: 0, Quotient: 1, Password: 498
Line: R37, Position: 37, Quotient: 0, Password: 498
Line: L9, Position: 28, Quotient: 0, Password: 498
Line: L78, Position: 50, Quotient: -1, Password: 499
Line: L350, Position: 0, Quotient: 0, Password: 503
Line: R52, Position: 52, Quotient: 0, Password: 503
Line: L66, Position: 86, Quotient: -1, Password: 504
Line: L960, Position: 26, Quotient: 0, Password: 513
Line: R57, Position: 83, Quotient: 0, Password: 513
Line: R17, Position: 0, Quotient: 1, Password: 514
Line: L514, Position: 86, Quotient: -1, Password: 519
Line: L20, Position: 66, Quotient: 0, Password: 519
Line: R45, Position: 11, Quotient: 1, Password: 520
Line: R50, Position: 61, Quotient: 0, Password: 520
Line: L668, Position: 93, Quotient: -1, Password: 527
Line: L86, Position: 7, Quotient: 0, Password: 527
Line: L86, Position: 21, Quotient: -1, Password: 528
Line: R95, Position: 16, Quotient: 1, Password: 529
Line: L54, Position: 62, Quotient: -1, Password: 530
Line: L62, Position: 0, Quotient: 0, Password: 531
Line: L46, Position: 54, Quotient: -1, Password: 531
Line: R47, Position: 1, Quotient: 1, Password: 532
Line: L1, Position: 0, Quotient: 0, Password: 533
Line: R67, Position: 67, Quotient: 0, Password: 533
Line: L67, Position: 0, Quotient: 0, Password: 534
Line: L46, Position: 54, Quotient: -1, Password: 534
Line: R46, Position: 0, Quotient: 1, Password: 535
Line: L98, Position: 2, Quotient: -1, Password: 535
Line: R13, Position: 15, Quotient: 0, Password: 535
Line: R67, Position: 82, Quotient: 0, Password: 535
Line: L82, Position: 0, Quotient: 0, Password: 536
Line: R905, Position: 5, Quotient: 0, Password: 545
Line: R49, Position: 54, Quotient: 0, Password: 545
Line: R14, Position: 68, Quotient: 0, Password: 545
Line: L68, Position: 0, Quotient: 0, Password: 546
Line: L454, Position: 46, Quotient: -1, Password: 550
Line: L46, Position: 0, Quotient: 0, Password: 551
Line: R82, Position: 82, Quotient: 0, Password: 551
Line: R18, Position: 0, Quotient: 1, Password: 552
Line: L94, Position: 6, Quotient: -1, Password: 552
Line: R6, Position: 12, Quotient: 0, Password: 552
Line: L994, Position: 18, Quotient: -1, Password: 562
Line: R82, Position: 0, Quotient: 1, Password: 563
Line: R61, Position: 61, Quotient: 0, Password: 563
Line: L64, Position: 97, Quotient: -1, Password: 564
Line: L897, Position: 0, Quotient: 0, Password: 573
Line: L135, Position: 65, Quotient: -1, Password: 574
Line: R35, Position: 0, Quotient: 1, Password: 575
Line: L33, Position: 67, Quotient: -1, Password: 575
Line: R36, Position: 3, Quotient: 1, Password: 576
Line: L3, Position: 0, Quotient: 0, Password: 577
Line: R85, Position: 85, Quotient: 0, Password: 577
Line: R58, Position: 43, Quotient: 1, Password: 578
Line: R97, Position: 40, Quotient: 1, Password: 579
Line: R72, Position: 12, Quotient: 1, Password: 580
Line: R83, Position: 95, Quotient: 0, Password: 580
Line: L446, Position: 49, Quotient: 0, Password: 584
Line: R51, Position: 0, Quotient: 1, Password: 585
Line: R96, Position: 96, Quotient: 0, Password: 585
Line: R30, Position: 26, Quotient: 1, Password: 586
Line: R18, Position: 44, Quotient: 0, Password: 586
Line: L44, Position: 0, Quotient: 0, Password: 587
Line: R52, Position: 52, Quotient: 0, Password: 587
Line: R48, Position: 0, Quotient: 1, Password: 588
Line: R37, Position: 37, Quotient: 0, Password: 588
Line: L23, Position: 14, Quotient: 0, Password: 588
Line: L32, Position: 82, Quotient: -1, Password: 589
Line: L50, Position: 32, Quotient: 0, Password: 589
Line: R10, Position: 42, Quotient: 0, Password: 589
Line: R858, Position: 0, Quotient: 1, Password: 598
Line: R30, Position: 30, Quotient: 0, Password: 598
Line: L65, Position: 65, Quotient: -1, Password: 599
Line: L308, Position: 57, Quotient: 0, Password: 602
Line: L80, Position: 77, Quotient: -1, Password: 603
Line: R3, Position: 80, Quotient: 0, Password: 603
Line: R81, Position: 61, Quotient: 1, Password: 604
Line: L61, Position: 0, Quotient: 0, Password: 605
Line: R11, Position: 11, Quotient: 0, Password: 605
Line: R89, Position: 0, Quotient: 1, Password: 606
Line: R13, Position: 13, Quotient: 0, Password: 606
Line: R87, Position: 0, Quotient: 1, Password: 607
Line: R26, Position: 26, Quotient: 0, Password: 607
Line: L65, Position: 61, Quotient: -1, Password: 608
Line: L23, Position: 38, Quotient: 0, Password: 608
Line: L38, Position: 0, Quotient: 0, Password: 609
Line: R47, Position: 47, Quotient: 0, Password: 609
Line: R16, Position: 63, Quotient: 0, Password: 609
Line: L44, Position: 19, Quotient: 0, Password: 609
Line: R3, Position: 22, Quotient: 0, Password: 609
Line: L66, Position: 56, Quotient: -1, Password: 610
Line: L70, Position: 86, Quotient: -1, Password: 611
Line: L28, Position: 58, Quotient: 0, Password: 611
Line: L94, Position: 64, Quotient: -1, Password: 612
Line: R37, Position: 1, Quotient: 1, Password: 613
Line: R99, Position: 0, Quotient: 1, Password: 614
Line: L37, Position: 63, Quotient: -1, Password: 614
Line: R883, Position: 46, Quotient: 1, Password: 623
Line: L23, Position: 23, Quotient: 0, Password: 623
Line: L80, Position: 43, Quotient: -1, Password: 624
Line: L82, Position: 61, Quotient: -1, Password: 625
Line: R72, Position: 33, Quotient: 1, Password: 626
Line: R740, Position: 73, Quotient: 0, Password: 633
Line: L96, Position: 77, Quotient: -1, Password: 634
Line: L77, Position: 0, Quotient: 0, Password: 635
Line: L728, Position: 72, Quotient: -1, Password: 642
Line: R11, Position: 83, Quotient: 0, Password: 642
Line: L17, Position: 66, Quotient: 0, Password: 642
Line: L25, Position: 41, Quotient: 0, Password: 642
Line: R16, Position: 57, Quotient: 0, Password: 642
Line: L83, Position: 74, Quotient: -1, Password: 643
Line: R98, Position: 72, Quotient: 1, Password: 644
Line: L57, Position: 15, Quotient: 0, Password: 644
Line: L15, Position: 0, Quotient: 0, Password: 645
Line: R556, Position: 56, Quotient: 0, Password: 650
Line: R1, Position: 57, Quotient: 0, Password: 650
Line: R57, Position: 14, Quotient: 1, Password: 651
Line: R86, Position: 0, Quotient: 1, Password: 652
Line: L59, Position: 41, Quotient: -1, Password: 652
Line: L78, Position: 63, Quotient: -1, Password: 653
Line: R753, Position: 16, Quotient: 1, Password: 661
Line: R81, Position: 97, Quotient: 0, Password: 661
Line: L75, Position: 22, Quotient: 0, Password: 661
Line: R46, Position: 68, Quotient: 0, Password: 661
Line: R1, Position: 69, Quotient: 0, Password: 661
Line: L54, Position: 15, Quotient: 0, Password: 661
Line: L51, Position: 64, Quotient: -1, Password: 662
Line: R82, Position: 46, Quotient: 1, Password: 663
Line: R454, Position: 0, Quotient: 1, Password: 668
Line: L97, Position: 3, Quotient: -1, Password: 668
Line: R91, Position: 94, Quotient: 0, Password: 668
Line: L649, Position: 45, Quotient: 0, Password: 674
Line: R55, Position: 0, Quotient: 1, Password: 675
Line: R85, Position: 85, Quotient: 0, Password: 675
Line: R899, Position: 84, Quotient: 1, Password: 684
Line: R13, Position: 97, Quotient: 0, Password: 684
Line: R6, Position: 3, Quotient: 1, Password: 685
Line: L903, Position: 0, Quotient: 0, Password: 695
Line: L894, Position: 6, Quotient: -1, Password: 703
Line: R97, Position: 3, Quotient: 1, Password: 704
Line: L3, Position: 0, Quotient: 0, Password: 705
Line: R82, Position: 82, Quotient: 0, Password: 705
Line: R76, Position: 58, Quotient: 1, Password: 706
Line: L58, Position: 0, Quotient: 0, Password: 707
Line: R87, Position: 87, Quotient: 0, Password: 707
Line: L53, Position: 34, Quotient: 0, Password: 707
Line: L34, Position: 0, Quotient: 0, Password: 708
Line: L945, Position: 55, Quotient: -1, Password: 717
Line: R875, Position: 30, Quotient: 1, Password: 726
Line: L83, Position: 47, Quotient: -1, Password: 727
Line: L47, Position: 0, Quotient: 0, Password: 728
Line: R51, Position: 51, Quotient: 0, Password: 728
Line: R47, Position: 98, Quotient: 0, Password: 728
Line: R2, Position: 0, Quotient: 1, Password: 729
Line: L334, Position: 66, Quotient: -1, Password: 732
Line: L716, Position: 50, Quotient: 0, Password: 739
Line: L50, Position: 0, Quotient: 0, Password: 740
Line: L30, Position: 70, Quotient: -1, Password: 740
Line: L970, Position: 0, Quotient: 0, Password: 750
Line: L95, Position: 5, Quotient: -1, Password: 750
Line: L5, Position: 0, Quotient: 0, Password: 751
Line: R219, Position: 19, Quotient: 0, Password: 753
Line: R39, Position: 58, Quotient: 0, Password: 753
Line: L58, Position: 0, Quotient: 0, Password: 754
Line: R81, Position: 81, Quotient: 0, Password: 754
Line: L81, Position: 0, Quotient: 0, Password: 755
Line: L49, Position: 51, Quotient: -1, Password: 755
Line: L51, Position: 0, Quotient: 0, Password: 756
